label,url,brand,name,skin_type,spf,concern,concern2,concern3,key_ingredient,formulation,image
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-unisex-set-of-2-skin-perfect-age-30-anti-fine-lines-whitening-spf-21-cream/7642482/buy,LOreal,Paris Unisex Set Of 2 Skin Perfect Age 30+ Anti-Fine Lines Whitening SPF 21 Cream,Normal,15 to 30,Fine Lines and Wrinkles,General Care,Dull Skin,Collagen,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-set-of-sustainable-white-glow-spf-25-gel-creme--phyto-rx-night-creme/14465544/buy,Lotus Herbals,Set of Sustainable White Glow SPF 25++ Gel Creme & Phyto-Rx Night Creme,Normal,,Dull Skin,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-chia-seed-range-hydro-lotion-with-vit-b12-145-ml/10558970/buy,The Face Shop,Chia Seed Range Hydro Lotion with Vit B12 145 ml,Normal,,Dryness,Dull Skin,Hydration,Vitamin E,Lotion,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-natural-white-7-in-one-night-repair-cream--total-effects-7-in-one-day-cream/15062002/buy,Olay,Natural White 7 in One Night Repair Cream & Total Effects 7 In One Day Cream,Normal,15 to 30,Fine Lines and Wrinkles,Hydration,Deep Nourishment,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-pack-of-2-women-revitalift-night-cream--crystal-micro-essence-serum/11816432/buy,LOreal,L'Oreal Paris Pack of 2 Women Revitalift Night Cream & Crystal Micro-Essence Serum,Normal,,Skin Sagging,Hydration,,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-professional-phyto-rx-whitening--brightening-night-creme-50g/10365395/buy,Lotus Herbals,Sustainable Professional Phyto-Rx Whitening Brightening Night Creme 50g,Normal,,Dull Skin,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-set-of-nourishing-skin-cream--purifying-neem-face-wash/11817044/buy,Himalaya,Set of Nourishing Skin Cream & Purifying Neem Face Wash,Normal,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-women-regenerist-advance-anti-ageing-revitalising-serum-50-ml/10443732/buy,Olay,Women Regenerist Advance Anti-Ageing Revitalising Serum 50 ml,Normal,,Fine Lines and Wrinkles,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-men-set-of-2-acno-fight-pimple-clearing-whitening-cream/9350661/buy,Garnier,Men Set of 2 Acno Fight Pimple Clearing Whitening Cream,Combination,,Acne or Blemishes,,,,Cream,https://www.garnier.in/-/media/project/loreal/brand-sites/garnier/apac/in/products/garnier-men/acno-fight/acno-fight-pimple-clearing-whitening-cream/acno-fight-pimple-clearing-whitening-cream-45g/8901526211067-001.jpg?rev=e111df2c2af7462cbcd34160709c0bba
face-moisturisers,https://www.myntra.com/face-moisturisers/fabindia/fabindia-vitamin-e-daily-moisturising-cream-120ml/14156844/buy,,,,,,,,,,
